DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/22/2016,8:00,BRONX,10465,40.8223167,-73.8191724,"(40.8223167, -73.8191724)",EAST TREMONT AVENUE             ,DEWEY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3591433,PASSENGER VEHICLE,,,,
12/22/2016,8:00,BRONX,10463,40.8857468,-73.9104186,"(40.8857468, -73.9104186)",,,569       WEST 235 STREET               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3584777,PASSENGER VEHICLE,,,,
12/22/2016,7:59,BROOKLYN,11237,40.7057644,-73.9225051,"(40.7057644, -73.9225051)",,,249       STARR STREET                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3585601,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/22/2016,7:55,,,,,,MYRTLE AVENUE                   ,65 PLACE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3584810,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/22/2016,7:50,,,,,,VAN SIDERIN AVENUE              ,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3585484,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,7:45,,,40.7382708,-73.7970515,"(40.7382708, -73.7970515)",,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3584912,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/22/2016,7:45,,,,,,VANWYCK EXPRESSWAY              ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3584831,PASSENGER VEHICLE,,,,
12/22/2016,7:45,BROOKLYN,11217,40.6843086,-73.9821919,"(40.6843086, -73.9821919)",,,297       DEAN STREET                   ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3585339,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/22/2016,7:43,BRONX,10459,40.820189,-73.8906752,"(40.820189, -73.8906752)",BRUCKNER BOULEVARD              ,HUNTS POINT AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3585074,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/22/2016,7:37,QUEENS,11358,40.7538385,-73.8058195,"(40.7538385, -73.8058195)",161 STREET                      ,46 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3584844,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,20:00,MANHATTAN,10035,40.7957327,-73.932661,"(40.7957327, -73.932661)",EAST 117 STREET                 ,PLEASANT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3585627,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,1:15,BRONX,10454,40.8077033,-73.9295459,"(40.8077033, -73.9295459)",BRUCKNER BOULEVARD              ,LINCOLN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3584744,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,1:00,QUEENS,11101,40.7524046,-73.9244179,"(40.7524046, -73.9244179)",NORTHERN BOULEVARD              ,39 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3585370,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,19:55,,,,,,FARMERS BOULEVARD               ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3585489,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,19:55,BROOKLYN,11206,40.6931365,-73.9424722,"(40.6931365, -73.9424722)",,,220       PULASKI STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3585449,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/22/2016,19:50,,,,,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3585287,,,,,
12/22/2016,19:50,,,,,,LAURELTON PARKWAY               ,NORTH CONDUIT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3585117,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
12/22/2016,19:50,QUEENS,11367,40.7302362,-73.822767,"(40.7302362, -73.822767)",,,144-27    JEWEL AVENUE                  ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3585793,MOTORCYCLE,PASSENGER VEHICLE,,,
12/22/2016,19:50,BROOKLYN,11234,40.6278822,-73.9325061,"(40.6278822, -73.9325061)",KINGS HIGHWAY                   ,AVENUE J,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3586949,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,19:45,,,,,,,,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3585175,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/22/2016,19:45,BRONX,10458,40.8554651,-73.8918644,"(40.8554651, -73.8918644)",,,502       EAST 184 STREET               ,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3585672,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,19:40,BRONX,10455,40.8195414,-73.9135209,"(40.8195414, -73.9135209)",EAST 155 STREET                 ,3 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3587867,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,19:39,BROOKLYN,11234,40.6293726,-73.9280049,"(40.6293726, -73.9280049)",,,1760      UTICA AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3586922,PASSENGER VEHICLE,,,,
